응답자ID,조사시작일자,성별구분코드,연령대구분명,답변자거주지역명,가구소득정도명,서울특별시여행관심값,경기도인천광역시여행관심값,부산광역시여행관심값,충청남도대전광역시여행관심값,충청북도여행관심값,경상남도울산광역시여행관심값,경상북도대구광역시여행관심값,전라남도광주광역시여행관심값,전라북도여행관심값,강원여행관심값,제주도여행관심값
53368231,20230529,F,60대,부산광역시,300이상500만원 미만,4,3,3,3,3,3,3,3,3,4,3
53342242,20230529,F,60대,부산광역시,300이상500만원 미만,3,4,3,4,4,3,3,3,3,4,3
53361984,20230529,F,60대,부산광역시,300만원 미만,3,3,4,2,3,3,2,2,3,4,3
53346340,20230529,F,60대,대전광역시,700만원 이상,4,3,4,3,3,4,4,4,3,4,4
53369480,20230529,F,50대,경기도,300이상500만원 미만,3,3,4,3,3,4,3,3,3,4,5
53331634,20230529,F,50대,경기도,500이상700만원 미만,1,3,5,3,4,5,1,4,2,4,5
53332131,20230529,F,50대,경기도,700만원 이상,3,3,2,3,3,2,1,3,3,4,4
53329178,20230529,F,50대,경기도,700만원 이상,3,3,4,4,3,2,1,4,5,3,5
53345541,20230529,F,50대,경기도,300이상500만원 미만,2,2,1,3,3,2,3,3,3,3,3
53363368,20230529,F,50대,경기도,700만원 이상,4,3,4,4,4,3,3,4,3,3,5
53337294,20230529,F,50대,경기도,500이상700만원 미만,4,4,4,3,3,3,3,3,4,4,5
53367984,20230529,F,50대,경기도,700만원 이상,4,3,5,3,3,3,4,3,3,3,3
53366167,20230529,F,50대,경기도,300이상500만원 미만,2,3,4,4,3,2,2,4,3,4,4
53333515,20230529,F,50대,경기도,300이상500만원 미만,5,5,1,3,3,1,1,4,4,4,1
53357555,20230529,F,50대,인천광역시,300이상500만원 미만,3,4,3,4,4,2,4,3,2,5,2
53327233,20230529,F,50대,인천광역시,300만원 미만,4,4,4,4,4,3,4,4,4,4,3
53344393,20230529,F,50대,광주광역시,500이상700만원 미만,4,3,4,3,2,4,3,3,4,3,4
53372563,20230529,F,50대,경상남도,300이상500만원 미만,2,2,2,2,2,4,2,4,2,4,4
53352011,20230529,F,50대,경상남도,700만원 이상,3,3,3,3,3,3,3,3,3,3,3
53361773,20230529,F,50대,경상남도,300만원 미만,4,3,3,4,4,3,3,4,4,3,3
53331006,20230529,F,40대,경기도,700만원 이상,4,2,4,4,2,2,4,2,4,4,4
53365093,20230529,F,40대,경기도,300이상500만원 미만,4,4,4,3,3,3,4,3,3,4,4
53372877,20230529,F,40대,경기도,300만원 미만,2,3,2,3,3,3,2,3,3,4,4
53374078,20230529,F,40대,경기도,700만원 이상,3,3,4,2,3,3,4,4,4,3,1
53354396,20230529,F,40대,인천광역시,700만원 이상,3,1,2,1,2,1,1,3,1,2,2
53363776,20230529,F,40대,인천광역시,700만원 이상,4,3,4,3,3,3,3,4,4,3,3
53339578,20230529,F,40대,강원도,300만원 미만,3,3,3,2,2,3,3,2,2,3,3
53340650,20230529,F,40대,경상북도,300만원 미만,4,3,2,3,3,2,4,3,2,4,2
53377405,20230529,F,40대,경상북도,모름,4,4,3,3,3,3,3,3,3,4,4
53324033,20230529,F,30대,서울특별시,700만원 이상,3,3,3,2,2,3,3,2,2,3,3
53338922,20230529,F,30대,서울특별시,500이상700만원 미만,1,3,3,3,4,4,3,4,3,4,4
53322774,20230529,F,30대,서울특별시,모름,3,3,5,4,3,3,3,3,2,3,4
53323023,20230529,F,30대,서울특별시,700만원 이상,3,3,4,3,4,4,4,4,4,4,5
53344633,20230529,F,30대,경기도,300이상500만원 미만,1,4,3,3,2,2,2,2,2,3,2
53329479,20230529,F,30대,경기도,700만원 이상,3,5,2,4,4,2,2,4,4,4,5
53370574,20230529,F,30대,경기도,300이상500만원 미만,4,4,4,3,3,3,3,3,3,4,4
53347364,20230529,F,30대,경기도,700만원 이상,5,3,4,3,3,3,3,3,3,3,1
53334990,20230529,F,30대,경기도,300만원 미만,3,3,3,3,3,3,3,2,3,3,3
53327560,20230529,F,30대,경기도,300이상500만원 미만,1,3,5,3,1,3,4,4,4,5,5
53353630,20230529,F,30대,경기도,700만원 이상,3,3,4,4,4,4,4,4,4,4,4
53365175,20230529,F,30대,경기도,300만원 미만,3,3,3,3,3,3,3,3,3,3,3
53330639,20230529,F,30대,인천광역시,700만원 이상,5,3,5,3,3,3,3,4,3,4,5
53375573,20230529,F,20대,경기도,모름,4,3,4,3,3,3,4,3,3,3,4
53362360,20230529,F,20대,경기도,700만원 이상,3,3,3,3,3,3,3,3,3,3,3
53362312,20230529,F,20대,경기도,500이상700만원 미만,4,1,2,2,1,2,2,2,2,2,4
53364793,20230529,F,20대,경기도,700만원 이상,3,3,3,4,3,3,4,3,3,3,5
53360895,20230529,F,20대,경기도,300만원 미만,2,3,3,2,4,4,2,4,3,2,4
53362337,20230529,F,20대,경기도,모름,3,3,3,3,3,3,3,3,3,3,3
53363323,20230529,F,20대,대구광역시,모름,4,3,4,3,4,3,3,3,3,4,3
53360001,20230529,F,20대,대구광역시,300이상500만원 미만,4,3,3,3,3,3,3,3,3,4,3
53358385,20230529,F,20대,울산광역시,300이상500만원 미만,3,2,2,1,5,4,4,1,1,3,2
53335660,20230529,M,50대,부산광역시,300이상500만원 미만,5,5,4,3,3,2,3,1,1,4,3
53346346,20230529,M,50대,부산광역시,300이상500만원 미만,2,3,3,3,3,4,3,4,3,4,2
53322211,20230529,M,40대,서울특별시,300이상500만원 미만,3,3,3,3,2,2,2,2,2,4,2
53335468,20230529,M,40대,서울특별시,700만원 이상,3,4,5,3,3,4,3,3,3,4,2
53352995,20230529,M,40대,서울특별시,500이상700만원 미만,3,2,5,3,3,2,3,3,3,4,4
53369607,20230529,M,40대,서울특별시,700만원 이상,3,5,3,4,4,4,3,5,4,3,4
53330759,20230529,M,40대,울산광역시,500이상700만원 미만,5,2,3,2,3,3,1,3,2,5,4
53375223,20230529,M,40대,충청북도,700만원 이상,3,1,1,1,1,1,1,1,1,3,3
53324408,20230529,M,30대,서울특별시,500이상700만원 미만,3,3,3,3,2,2,2,4,3,2,2
53324517,20230529,M,30대,서울특별시,500이상700만원 미만,3,3,2,3,3,3,3,3,3,3,2
53368387,20230529,M,30대,서울특별시,300만원 미만,1,2,5,3,3,3,4,3,3,4,5
53322755,20230529,M,30대,서울특별시,300만원 미만,3,3,3,3,3,3,3,3,3,3,4
53344208,20230529,M,30대,부산광역시,300이상500만원 미만,4,3,3,3,3,4,4,3,3,3,2
53356973,20230529,M,30대,대전광역시,700만원 이상,4,3,4,4,3,3,4,1,4,3,3
53348626,20230529,M,20대,서울특별시,700만원 이상,3,2,2,3,2,2,2,3,3,2,3
53335214,20230529,M,20대,서울특별시,700만원 이상,2,2,3,2,3,3,2,4,2,4,2
429484,20230529,M,20대,서울특별시,500이상700만원 미만,3,3,3,3,3,3,3,3,3,3,2
53370051,20230529,M,20대,인천광역시,300이상500만원 미만,3,3,4,3,3,3,3,3,3,4,4
53344553,20230529,M,20대,인천광역시,모름,3,3,3,3,3,3,3,3,3,3,3
53369641,20230529,M,20대,충청남도(세종시 포함),700만원 이상,5,4,1,4,3,1,1,1,1,1,3
424161,20230529,M,20대,충청남도(세종시 포함),700만원 이상,3,4,4,3,3,3,3,3,4,4,4
53363818,20230529,M,60대,부산광역시,700만원 이상,3,3,3,3,3,3,3,3,3,3,2
318735,20230529,F,60대,전라남도,500이상700만원 미만,3,4,2,4,3,2,1,5,4,3,4
368912,20230529,M,20대,충청북도,300이상500만원 미만,4,4,4,4,4,4,4,4,4,4,5
433767,20230529,M,20대,경기도,700만원 이상,3,3,2,2,2,3,4,2,2,3,1
439753,20230529,M,20대,전라북도,300만원 미만,4,3,4,3,3,3,3,3,3,3,4
447088,20230529,F,40대,충청북도,700만원 이상,3,4,4,3,3,4,4,4,4,4,4
452044,20230529,M,20대,대전광역시,300만원 미만,5,5,5,5,5,5,5,5,5,5,5
53322423,20230529,F,60대,서울특별시,300이상500만원 미만,3,3,3,2,2,1,2,3,2,4,4
53322978,20230529,F,60대,서울특별시,700만원 이상,4,4,3,4,3,3,4,3,3,4,5
53323082,20230529,M,50대,서울특별시,700만원 이상,3,3,2,3,4,3,3,3,3,4,2
53323443,20230529,F,40대,서울특별시,300이상500만원 미만,3,4,3,3,3,3,3,3,3,5,4
53323767,20230529,F,60대,서울특별시,700만원 이상,3,4,3,4,4,3,2,4,4,4,5
53324113,20230529,F,50대,서울특별시,700만원 이상,4,4,5,3,5,4,4,4,4,4,5
53324288,20230529,F,60대,서울특별시,300만원 미만,3,1,3,3,3,3,4,3,3,3,3
53324319,20230529,F,20대,서울특별시,300만원 미만,3,4,4,3,3,3,4,4,4,3,4
53324365,20230529,F,40대,서울특별시,300이상500만원 미만,3,4,5,1,1,1,1,1,1,1,5
53324755,20230529,M,60대,서울특별시,300만원 미만,3,3,3,3,3,3,3,3,3,4,5
53325601,20230529,F,50대,서울특별시,700만원 이상,1,1,2,1,1,1,1,1,1,3,1
53325663,20230529,M,60대,서울특별시,700만원 이상,3,3,5,3,3,4,4,4,4,3,3
53325964,20230529,M,40대,충청남도(세종시 포함),700만원 이상,5,1,4,3,3,2,2,1,3,3,3
53327091,20230529,M,30대,인천광역시,500이상700만원 미만,3,3,3,3,3,3,3,3,3,3,3
53327158,20230529,M,30대,경기도,300만원 미만,3,3,4,3,3,3,5,3,3,4,5
53327393,20230529,M,60대,경상남도,700만원 이상,3,3,3,3,3,3,3,4,3,4,4
